Symptom,Model,Feature,Mean_Abs_SHAP
physSx_1,ElasticNet,sex_1.0,0.27696814176035256
physSx_1,ElasticNet,transgres_m_max,0.28632599241070217
physSx_1,ElasticNet,stress_amplification,0.28644879570848836
physSx_1,ElasticNet,mindful_m_squared,0.30460670134178486
physSx_1,ElasticNet,swb_m_std,0.30667166841376864
physSx_1,ElasticNet,achievement_stress_interaction,0.30981278322960465
physSx_1,ElasticNet,belong_m_log,0.3228412197858304
physSx_1,ElasticNet,low_efficacy_high_stress,0.33648008302603855
physSx_1,ElasticNet,achievement_gap,0.4336577559185018
physSx_1,ElasticNet,swb_m_min,0.5218120846255088
physSx_2,ElasticNet,support_m_max,0.2615019434491882
physSx_2,ElasticNet,swb_m_squared,0.2974178527717107
physSx_2,ElasticNet,social_conn_m_max,0.3018306904550117
physSx_2,ElasticNet,social_new_m_min,0.30204056376377736
physSx_2,ElasticNet,social_new_m_max,0.3262578268534474
physSx_2,ElasticNet,support_m_std,0.3409205908681538
physSx_2,ElasticNet,support_m_min,0.3579347228980691
physSx_2,ElasticNet,social_new_m_std,0.3987832656141457
physSx_2,ElasticNet,support_m_squared,0.6710313294362723
physSx_2,ElasticNet,stress_support_interaction,0.7029446989191224
physSx_3,ElasticNet,stress_m_log,0.19531932029289426
physSx_3,ElasticNet,efficacy_m_max,0.1962298554858124
physSx_3,ElasticNet,disability_m,0.19961958704645205
physSx_3,ElasticNet,transgres_m_std,0.2189635165294083
physSx_3,ElasticNet,health_anxiety_proxy,0.2211671209638158
physSx_3,ElasticNet,transgres_m,0.29762249711957145
physSx_3,ElasticNet,efficacy_m_min,0.30400732933998237
physSx_3,ElasticNet,stress_support_interaction,0.3943192084565189
physSx_3,ElasticNet,emotional_awareness_deficit,0.40770890865276643
physSx_3,ElasticNet,support_m_squared,0.5792981455030436
physSx_4,ElasticNet,stress_m_log,0.22809209016998225
physSx_4,ElasticNet,social_new_m_std,0.23275313140216955
physSx_4,ElasticNet,social_new_m_min,0.23538458101048765
physSx_4,ElasticNet,sex_2.0,0.24047829751178432
physSx_4,ElasticNet,transgres_m_std,0.26103425167496214
physSx_4,ElasticNet,transgres_m_max,0.2702530129236256
physSx_4,ElasticNet,social_new_m_max,0.29102762302557883
physSx_4,ElasticNet,stress_amplification,0.2967733049427419
physSx_4,ElasticNet,swb_m_squared,0.39632292267877506
physSx_4,ElasticNet,stress_support_interaction,0.6276193125514371
physSx_5,ElasticNet,efficacy_m_log,0.3032834564896933
physSx_5,ElasticNet,achievement_stress_interaction,0.31394638373104344
physSx_5,ElasticNet,mindful_m_log,0.3289716219408727
physSx_5,ElasticNet,social_new_m_min,0.33053246313069956
physSx_5,ElasticNet,belong_m_squared,0.33076540547743555
physSx_5,ElasticNet,social_conn_m_std,0.3426250573202042
physSx_5,ElasticNet,stress_support_interaction,0.36497913312657576
physSx_5,ElasticNet,low_efficacy_high_stress,0.3757077942945576
physSx_5,ElasticNet,belong_m_log,0.4496908825494204
physSx_5,ElasticNet,social_conn_m_min,0.45551619790649117
physSx_6,ElasticNet,swb_m_log,0.2371884506755457
physSx_6,ElasticNet,social_new_m,0.3379728326623445
physSx_6,ElasticNet,exploit_m_min,0.34141914115761013
physSx_6,ElasticNet,swb_m_min,0.3513460677195802
physSx_6,ElasticNet,belong_m_log,0.3609245590189523
physSx_6,ElasticNet,achievement_gap_squared,0.37857428316812464
physSx_6,ElasticNet,perfectionism_stress,0.4033989824840702
physSx_6,ElasticNet,stress_support_interaction,0.4311621524734549
physSx_6,ElasticNet,exploit_m_std,0.4770353568041722
physSx_6,ElasticNet,exploit_m_max,0.7616965887565752
physSx_7,ElasticNet,sex_stress,0.32775737651071163
physSx_7,ElasticNet,catastrophizing_score,0.33977685087594944
physSx_7,ElasticNet,sex_1.0,0.36526088095956555
physSx_7,ElasticNet,disability_m_std,0.37680185962713253
physSx_7,ElasticNet,social_new_m_min,0.3879971944379145
physSx_7,ElasticNet,social_new_m_max,0.44351823435114646
physSx_7,ElasticNet,transgres_m_std,0.5298770904621609
physSx_7,ElasticNet,transgres_m_max,0.5357265145938541
physSx_7,ElasticNet,exploit_m,0.561720954979842
physSx_7,ElasticNet,social_new_m,0.8602871961972942
physSx_8,ElasticNet,efficacy_belong_interaction,0.1864281974157698
physSx_8,ElasticNet,sex_1.0,0.2087647872491845
physSx_8,ElasticNet,moa_importance_m_std,0.2149167619494932
physSx_8,ElasticNet,idea_m_min,0.2440077515330052
physSx_8,ElasticNet,transgres_m,0.25548687048423036
physSx_8,ElasticNet,achievement_gap,0.26266484397435935
physSx_8,ElasticNet,stress_m_log,0.268316757150631
physSx_8,ElasticNet,mindful_m_squared,0.35560426883173
physSx_8,ElasticNet,mindful_m_log,0.37504787200355055
physSx_8,ElasticNet,achievement_stress_interaction,0.4272253001011968
physSx_9,ElasticNet,support_m_min,0.17794115393687762
physSx_9,ElasticNet,overall_std,0.18888905459268307
physSx_9,ElasticNet,belong_m_log,0.19053590200610523
physSx_9,ElasticNet,moa_achievement_m_std,0.2057515434307507
physSx_9,ElasticNet,disability_m,0.2414278817412738
physSx_9,ElasticNet,mindful_m_squared,0.2539717652039664
physSx_9,ElasticNet,support_m_std,0.25577422657002113
physSx_9,ElasticNet,mindful_m_log,0.34253135657977063
physSx_9,ElasticNet,health_anxiety_proxy,0.3631250760673185
physSx_9,ElasticNet,social_new_m,0.38749742047215047
physSx_10,ElasticNet,sex_stress,0.2157143474048503
physSx_10,ElasticNet,idea_m_min,0.23400396865096568
physSx_10,ElasticNet,stress_support_ratio,0.25446906991193785
physSx_10,ElasticNet,stress_m_log,0.2616140027538044
physSx_10,ElasticNet,stress_support_interaction,0.2920450727903596
physSx_10,ElasticNet,swb_m_min,0.30838735456689065
physSx_10,ElasticNet,efficacy_belong_interaction,0.33041853700356366
physSx_10,ElasticNet,perfectionism_stress,0.37912384351191725
physSx_10,ElasticNet,achievement_gap_squared,0.38234122356835487
physSx_10,ElasticNet,belong_m_squared,0.391431885891038
physSx_11,ElasticNet,social_new_m_std,0.268696961673116
physSx_11,ElasticNet,stress_support_interaction,0.2865115989059757
physSx_11,ElasticNet,stress_m_log,0.29329580848233
physSx_11,ElasticNet,social_new_m_max,0.3110740910794482
physSx_11,ElasticNet,social_conn_m,0.31870141290965304
physSx_11,ElasticNet,social_new_m_min,0.32880394712351585
physSx_11,ElasticNet,exploit_m_min,0.33815086767787644
physSx_11,ElasticNet,exploit_m,0.42247194898334034
physSx_11,ElasticNet,belong_m_squared,0.4304054099198349
physSx_11,ElasticNet,belong_m_log,0.5309876664322571
physSx_12,ElasticNet,swb_m_log,0.2527094152650426
physSx_12,ElasticNet,disability_m_max,0.2543340811922963
physSx_12,ElasticNet,overall_std,0.2670020895485374
physSx_12,ElasticNet,swb_m_max,0.30925773499186376
physSx_12,ElasticNet,support_m_min,0.32480791582334395
physSx_12,ElasticNet,emotional_awareness_deficit,0.3715251590187599
physSx_12,ElasticNet,transgres_m,0.4510434486155732
physSx_12,ElasticNet,sex_stress,0.47287405033992047
physSx_12,ElasticNet,transgres_m_std,0.5353467843489359
physSx_12,ElasticNet,transgres_m_max,0.8915946621589818
physSx_13,ElasticNet,stress_support_interaction,0.2171897542225143
physSx_13,ElasticNet,exploit_m,0.22532269379205586
physSx_13,ElasticNet,efficacy_m_log,0.2483599720010484
physSx_13,ElasticNet,belong_m_log,0.2542197859721059
physSx_13,ElasticNet,support_m_squared,0.30081043943282837
physSx_13,ElasticNet,belong_m_squared,0.32592286680333504
physSx_13,ElasticNet,disability_m_max,0.3476276388720952
physSx_13,ElasticNet,efficacy_m_squared,0.35304573578679926
physSx_13,ElasticNet,swb_m_squared,0.3718063335187459
physSx_13,ElasticNet,disability_m_std,0.3803438746571946
